Região/Unidade da Federação;Menor de 10 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;Idade ignorada
Região Norte;1;46;581;808;696;515;391;156;16;1;-;128
.. Rondônia;-;3;33;54;56;26;28;13;1;-;-;8
.. Acre;-;3;24;33;28;22;16;11;1;-;-;14
.. Amazonas;1;12;145;199;167;141;110;54;2;-;-;21
.. Roraima;-;-;27;18;29;26;14;3;-;-;-;5
.. Pará;-;22;269;421;352;239;168;55;7;1;-;62
.. Amapá;-;1;33;28;29;25;21;13;5;-;-;9
.. Tocantins;-;5;50;55;35;36;34;7;-;-;-;9
Região Nordeste;-;96;1125;1802;1748;1597;1242;499;41;3;1;500
.. Maranhão;-;20;207;306;273;231;152;48;6;1;-;71
.. Piauí;-;2;57;106;99;85;73;20;5;-;-;17
.. Ceará;-;17;130;237;273;243;193;75;5;-;-;31
.. Rio Grande do Norte;-;8;49;80;98;83;73;26;3;1;-;20
.. Paraíba;-;6;70;111;110;97;78;39;2;-;-;32
.. Pernambuco;-;10;184;267;215;238;164;75;7;-;-;87
.. Alagoas;-;6;72;122;103;90;57;22;3;-;-;47
.. Sergipe;-;2;60;68;77;66;62;24;-;1;-;4
.. Bahia;-;25;296;505;500;464;390;170;10;-;1;191
Região Sudeste;-;55;1121;2060;2009;1832;1453;640;47;2;-;726
.. Minas Gerais;-;16;288;497;483;453;330;145;9;1;-;206
.. Espírito Santo;-;7;81;93;95;83;82;37;2;-;-;15
.. Rio de Janeiro;-;12;311;523;457;368;304;123;8;-;-;96
.. São Paulo;-;20;441;947;974;928;737;335;28;1;-;409
Região Sul;-;15;318;651;663;567;427;174;15;2;-;167
.. Paraná;-;8;127;252;267;242;140;75;7;-;-;39
.. Santa Catarina;-;5;92;200;186;155;119;43;3;-;-;51
.. Rio Grande do Sul;-;2;99;199;210;170;168;56;5;2;-;77
Região Centro-Oeste;-;20;337;559;523;443;304;148;15;1;-;107
.. Mato Grosso do Sul;-;7;63;96;106;97;59;25;3;-;-;20
.. Mato Grosso;-;5;80;151;143;90;67;33;1;-;-;6
.. Goiás;-;7;152;239;204;176;113;52;7;1;-;72
.. Distrito Federal;-;1;42;73;70;80;65;38;4;-;-;9
 ;;;;;;;;;;;;
